IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
52.24.42.114,2087,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,197,33.69
52.13.18.181,8880,TRUE,SEA,US,North America,Seattle,16509,AMAZON-02,132,30.36
3.145.48.194,21234,TRUE,ORD,US,North America,Chicago,16509,AMAZON-02,268,21.30
3.66.84.249,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,824,16.18
13.52.251.56,8443,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,86,13.49
15.237.28.105,15997,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,800,10.14
13.36.230.17,8443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,788,10.07
13.52.251.56,8444,TRUE,SJC,US,North America,San Jose,16509,AMAZON-02,84,9.71
13.40.87.247,8080,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,785,9.40
3.120.144.20,8585,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,879,9.39
35.181.14.78,8443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,790,8.96
13.38.117.229,24268,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,537,8.73
18.130.249.35,2096,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,480,8.52
34.253.212.104,2096,TRUE,DUB,IE,Europe,Dublin,16509,AMAZON-02,481,8.46
35.177.213.135,2096,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,480,8.38
18.130.249.35,8081,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,780,8.35
15.237.28.105,57376,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,495,8.19
54.78.247.14,2053,TRUE,DUB,IE,Europe,Dublin,16509,AMAZON-02,557,7.85
35.177.209.223,8080,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,819,7.82
3.120.144.20,8080,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,869,7.59
3.120.144.20,10713,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,832,7.25
15.237.28.105,27664,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,525,7.19
13.51.48.84,2096,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,586,7.16
35.180.207.222,2101,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,503,7.15
52.57.142.162,8087,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,878,7.05
35.180.207.222,3000,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,504,7.03
3.120.151.135,2083,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,492,6.82
52.57.142.162,8088,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,816,6.27
52.212.168.5,8443,TRUE,DUB,IE,Europe,Dublin,16509,AMAZON-02,834,6.26
52.77.245.98,8443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,983,6.07
35.157.229.137,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,812,6.05
51.20.181.71,2087,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,651,5.62
3.122.239.119,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,824,5.40
43.202.44.172,8443,TRUE,ICN,KR,Asia Pacific,Seoul,16509,AMAZON-02,842,5.10
18.184.126.88,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,821,5.09
3.253.4.135,8443,TRUE,DUB,IE,Europe,Dublin,16509,AMAZON-02,821,4.85
3.126.221.11,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,824,4.82
52.56.40.154,8443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,852,4.65
18.153.73.158,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,834,4.57
3.72.14.0,2087,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,568,4.57
3.98.54.22,8443,TRUE,YUL,CA,North America,Montréal,16509,AMAZON-02,486,4.53
18.184.10.228,2083,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,563,4.35
3.79.158.50,8880,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,842,4.29
54.78.86.81,2053,TRUE,DUB,IE,Europe,Dublin,16509,AMAZON-02,540,4.24
3.253.4.135,2053,TRUE,DUB,IE,Europe,Dublin,16509,AMAZON-02,548,4.12
175.41.190.109,8443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,1012,4.10
18.192.113.68,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,828,4.07
35.180.204.185,8443,TRUE,CDG,FR,Europe,Paris,16509,AMAZON-02,823,4.06
52.49.41.80,2053,TRUE,DUB,IE,Europe,Dublin,16509,AMAZON-02,544,4.03
3.11.133.188,58800,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,524,3.97
3.76.211.217,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,820,3.96
18.130.32.35,8443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,828,3.88
18.158.211.32,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,820,3.87
13.51.201.157,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,943,3.78
35.156.134.213,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,822,3.69
52.59.44.105,2053,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,574,3.64
18.130.247.81,8443,TRUE,LHR,GB,Europe,London,16509,AMAZON-02,783,3.53
18.184.10.228,2087,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,538,3.43
13.50.236.220,8080,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,946,3.37
18.194.183.74,8443,TRUE,FRA,DE,Europe,Frankfurt,16509,AMAZON-02,812,3.31
13.50.13.145,2053,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,635,3.20
13.48.45.124,8443,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,961,3.18
16.170.231.20,2053,TRUE,ARN,SE,Europe,Stockholm,16509,AMAZON-02,621,3.17
